sample,species_count,read_count,mapped_reads,mapping_rate
Cec_3_2,36.0,54725840,19165223.5,35.02042819260517
Cec_3_3,35.0,55318745,21677421.5,39.18639423219019
Cec_2_1,34.0,43026245,15019010.0,34.9066250145696
Cec_3_1,34.0,49093725,18187122.5,37.04571714613222
Cec_2_3,32.0,41124762,12860477.5,31.271858789115907
Col_3_1,31.0,50279136,21871479.5,43.50011006553493
Col_2_3,31.0,41705060,12933638.5,31.012156558460774
Cec_1_1,31.0,43836870,14056012.0,32.0643604344927
Cec_1_3,31.0,74670843,21952569.5,29.399118341278136
Cec_1_2,30.0,44594491,14817629.0,33.22748767330924
Col_1_2,27.0,42425546,15289330.5,36.03802883291119
Col_2_1,26.0,42190820,10009788.5,23.72503900137518
Col_1_1,22.0,45329345,11927429.5,26.31282119783553
Col_1_3,21.0,45863583,15210473.5,33.16459924206096
Col_2_2,20.0,49824614,12543772.5,25.175854849572943
Col_3_2,20.0,45175186,5886509.0,13.03040346087341
Cec_2_2,18.0,39845951,6236023.0,15.65033044386367
Col_3_3,16.0,40915656,4571253.0,11.172381056288087
Ile_3_2,7.0,46042735,1213404.5,2.6353875372520768
Ile_3_1,7.0,52149656,24795297.0,47.54642485081781
Jej_3_2,6.0,42889058,2658194.0,6.197837219926817
Ile_1_1,6.0,43913435,1771550.0,4.034186804106761
Ile_2_1,6.0,42877618,3341954.0,7.794168976457601
Jej_3_1,6.0,70813202,7595316.0,10.725847420372263
Duo_3_2,5.0,57263802,1775620.5,3.1007729804598023
Jej_2_1,5.0,56423942,4270460.5,7.568525609217448
Jej_1_3,4.0,44460972,1236043.5,2.7800640525807667
Ile_1_2,3.0,43041518,968654.5,2.250511935940549
Jej_1_1,2.0,45804503,178174.0,0.38898795605314174
Ile_1_3,2.0,45996783,464814.5,1.010536976031563
Ile_2_2,2.0,39335834,992502.0,2.523149757038328
Jej_2_3,2.0,57358961,1103424.5,1.9237177256401141
Ile_2_3,2.0,63569822,1225974.5,1.9285479515736257
Jej_1_2,2.0,41117312,904893.5,2.2007603512603158
Ile_3_3,1.0,39815315,292921.0,0.7356993157030153
Duo_2_2,1.0,53026303,52401.5,0.09882171117982712
Duo_3_1,1.0,53381673,130362.5,0.24420834468788566
Duo_1_2,1.0,46562550,62295.0,0.13378777579836157
Jej_3_3,1.0,44781861,119671.5,0.2672320830972165
Duo_3_3,0.0,62205026,0.0,0.0
Duo_2_3,0.0,40387589,0.0,0.0
Jej_2_2,0.0,40719601,0.0,0.0
Duo_2_1,0.0,44726613,0.0,0.0
Duo_1_3,0.0,47766424,0.0,0.0
Duo_1_1,0.0,54282370,0.0,0.0
